parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP,fcts
681,31028.5,22.953290799084833,46.1332429857815,8,direct,rf16_s2_,22,0.0014994144439697266--0.005863189697265625--0.010290861129760742--0.013061046600341797--0.015120506286621094--0.016740798950195312--0.0181581974029541--0.019488096237182617--0.02068352699279785--0.02186727523803711--0.023050546646118164--0.024239063262939453--0.025477170944213867--0.026833534240722656--0.028235673904418945--0.029833316802978516--0.0317535400390625--0.034172773361206055--0.03757786750793457--0.04451417922973633
786,31064.4,26.355838109999137,55.168041420467006,8,direct,rf16_s2_,22,0.0014965534210205078--0.007277488708496094--0.011831283569335938--0.014828920364379883--0.01715087890625--0.019028425216674805--0.020659685134887695--0.022147655487060547--0.023587465286254883--0.024984121322631836--0.026398658752441406--0.02784895896911621--0.029343366622924805--0.03093552589416504--0.03267621994018555--0.03460550308227539--0.03685450553894043--0.03969240188598633--0.04379010200500488--0.05281329154968262
891,31349.8,29.934076018723236,60.266398102011685,8,direct,rf16_s2_,22,0.0015566349029541016--0.007457733154296875--0.013093233108520508--0.01677107810974121--0.019556522369384766--0.021750926971435547--0.023665666580200195--0.025374650955200195--0.026955366134643555--0.02852630615234375--0.03003978729248047--0.03160262107849121--0.03325176239013672--0.0350184440612793--0.03689384460449219--0.03908944129943848--0.04159951210021973--0.04474186897277832--0.0492396354675293--0.05824446678161621
96,17197.6,4.77303290853695,9.061801190278969,8,direct,rf16_s2_,22,0.001558065414428711--0.0026760101318359375--0.0033943653106689453--0.003704071044921875--0.003903627395629883--0.004073143005371094--0.004228115081787109--0.004367828369140625--0.004510164260864258--0.0046541690826416016--0.004797935485839844--0.00496220588684082--0.00513148307800293--0.005317211151123047--0.005540609359741211--0.005814552307128906--0.006155967712402344--0.006597042083740234--0.007314205169677734--0.00881648063659668
996,31742.2,32.98505609164496,66.88053956729377,8,direct,rf16_s2_,22,0.0015323162078857422--0.00824594497680664--0.014913320541381836--0.01888751983642578--0.0217897891998291--0.0240786075592041--0.02613663673400879--0.02796339988708496--0.029678821563720703--0.031359195709228516--0.03302359580993652--0.03476667404174805--0.03666114807128906--0.038603782653808594--0.040746212005615234--0.04318594932556152--0.04605412483215332--0.049653053283691406--0.054827213287353516--0.06517863273620605
144,53035.8,1.949641802539564,9.38530000921798,2,direct,rf2_s1__,11,0.0004329681396484375--0.0010018348693847656--0.0011508464813232422--0.0012497901916503906--0.0013360977172851562--0.0014238357543945312--0.0015139579772949219--0.0016055107116699219--0.0017046928405761719--0.001810312271118164--0.001928091049194336--0.0020532608032226562--0.002208232879638672--0.002397298812866211--0.0026330947875976562--0.002940654754638672--0.0033714771270751953--0.004023551940917969--0.0052585601806640625--0.008772134780883789
192,53722.4,2.1929654878439364,13.422604688664073,2,direct,rf2_s1__,11,0.0004940032958984375--0.001087188720703125--0.001249074935913086--0.0013594627380371094--0.0014643669128417969--0.0015642642974853516--0.0016660690307617188--0.0017766952514648438--0.0018973350524902344--0.00202178955078125--0.002161264419555664--0.002318859100341797--0.0025017261505126953--0.002732515335083008--0.0030155181884765625--0.003425121307373047--0.003997087478637695--0.004923105239868164--0.006763458251953125--0.012156248092651367
240,54531.7,2.3109371011907403,17.599768875059016,2,direct,rf2_s1__,11,0.0004379749298095703--0.0011432170867919922--0.0013120174407958984--0.0014295578002929688--0.0015444755554199219--0.001657724380493164--0.0017666816711425781--0.0018863677978515625--0.0020084381103515625--0.0021386146545410156--0.002283811569213867--0.0024559497833251953--0.002659320831298828--0.0029060840606689453--0.0032291412353515625--0.0036704540252685547--0.00433659553527832--0.005434989929199219--0.0078067779541015625--0.014739751815795898
288,55540.1,2.3812228235705146,20.4661147347812,2,direct,rf2_s1__,11,0.0004343986511230469--0.0011458396911621094--0.0013320446014404297--0.0014529228210449219--0.001567840576171875--0.0016818046569824219--0.0018031597137451172--0.0019195079803466797--0.002048492431640625--0.002187967300415039--0.0023453235626220703--0.002522706985473633--0.002732515335083008--0.0030019283294677734--0.0033478736877441406--0.003816366195678711--0.004528045654296875--0.005780458450317383--0.008321762084960938--0.016808032989501953
336,54560.3,2.464456671088405,23.653965024553106,2,direct,rf2_s1__,11,0.0004284381866455078--0.0012116432189941406--0.0013794898986816406--0.0015079975128173828--0.0016300678253173828--0.0017473697662353516--0.0018668174743652344--0.001993417739868164--0.002122163772583008--0.002267122268676758--0.002424001693725586--0.002606630325317383--0.0028243064880371094--0.003107786178588867--0.0034761428833007812--0.003977060317993164--0.004721641540527344--0.006050586700439453--0.009113788604736328--0.018117904663085938
