


"Host:","node-13.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:20 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:47:33,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,8192,0,2,1157,852,0,0,0,106,164,0,3221221376,10,43,0,2,0
01-10 16:47:34,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,186,622,0,0,0,107,187,0,3221221376,10,43,0,2,0
01-10 16:47:35,0.063,0.125,99.812,0,0,12584165376,49857613824,267853824,4446670848,0,0,0,0,365,606,0,0,0,97,160,0,3221221376,10,43,0,1,0
01-10 16:47:36,0.062,0.250,99.688,0,0,12584165376,49857613824,267853824,4446670848,0,73728,0,6,480,606,0,0,0,99,168,0,3221221376,10,43,0,1,0
01-10 16:47:37,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,665,622,0,0,0,94,147,0,3221221376,10,43,0,1,0
01-10 16:47:38,0,0.250,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,813,836,0,0,0,103,169,0,3221221376,10,43,0,1,0
01-10 16:47:39,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,245,606,0,0,0,117,191,0,3221221376,10,43,0,1,0
01-10 16:47:40,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,486,666,0,0,0,93,145,0,3221221376,10,43,0,1,0
01-10 16:47:41,0.062,0.187,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,365,606,0,0,0,87,142,0,3221221376,10,43,0,1,0
01-10 16:47:42,0,0.187,99.750,0.062,0,12584161280,49857613824,267853824,4446674944,0,57344,0,8,306,606,0,0,0,106,175,0,3221221376,10,43,0,1,0
01-10 16:47:43,0.375,0.375,99.250,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,30381,29443,0,10,0,183,249,0,3221221376,10,43,0,1,0
01-10 16:47:44,0.062,0.188,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,73728,0,18,246,614,0,0,0,94,154,0,3221221376,10,43,0,1,0
01-10 16:47:45,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,1401,724,0,0,0,100,155,0,3221221376,10,43,0,1,0
01-10 16:47:46,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,999,1934,0,2,1,115,182,0,3221221376,10,43,0,1,0
