


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:28 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:47:46,1.628,0.438,97.934,0,0,985473024,65639206912,82919424,598880256,0,0,0,0,3879,4289,0,0,0,981,874,0,3221221376,10,9,0,320,0
01-10 16:47:47,0,0.125,99.875,0,0,985456640,65639206912,82931712,598884352,0,188416,0,10,701,666,0,0,0,117,199,0,3221221376,10,9,0,320,0
01-10 16:47:48,0,0.063,99.937,0,0,985423872,65639239680,82931712,598884352,0,0,0,0,605,622,0,0,0,92,156,0,3221221376,10,9,0,320,0
01-10 16:47:49,0.062,0.125,99.813,0,0,985423872,65639239680,82931712,598884352,0,0,0,0,598,836,0,0,0,86,146,0,3221221376,10,9,0,320,0
01-10 16:47:50,0,0.125,99.875,0,0,985423872,65639239680,82931712,598884352,0,0,0,0,485,606,0,0,0,81,140,0,3221221376,10,9,0,320,0
01-10 16:47:51,0.063,0.063,99.875,0,0,985423872,65639239680,82931712,598884352,0,491520,0,102,588,672,0,0,0,156,180,0,3221221376,10,9,0,320,0
01-10 16:47:52,0,0.125,99.875,0,0,985415680,65639239680,82939904,598884352,0,65536,0,4,477,1014,0,0,0,103,170,0,3221221376,10,9,0,320,0
01-10 16:47:53,0,0.188,99.812,0,0,985415680,65639239680,82939904,598884352,0,0,0,0,492,1720,0,0,0,109,185,0,3221221376,10,9,0,320,0
01-10 16:47:54,0.062,0.125,99.813,0,0,985415680,65639239680,82939904,598884352,0,0,0,0,545,666,0,0,0,85,141,0,3221221376,10,9,0,320,0
01-10 16:47:55,0,0.063,99.937,0,0,985415680,65639239680,82939904,598884352,0,0,0,0,1207,836,0,0,0,114,192,0,3221221376,10,9,0,320,0
01-10 16:47:56,0.062,0.125,99.813,0,0,985415680,65639239680,82939904,598884352,0,0,0,0,365,606,0,0,0,93,145,0,3221221376,10,9,0,320,0
01-10 16:47:57,0,0.063,99.937,0,0,985415680,65639239680,82939904,598884352,0,0,0,0,126,606,0,0,0,74,138,0,3221221376,10,9,0,320,0
