parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
5504,14338.0,311,903,32,direct,rf4_s16_,1376
5504,8438.0,553,953,32,direct,rf4_s32_,1376
5504,19027.93,228,1551,32,direct,rf4_s4__,1376
5504,12859.53,352,1071,32,direct,rf6_s16_,1376
5504,7388.47,634,796,32,direct,rf6_s32_,1376
5504,27631.2,170,603,32,direct,rf6_s4__,1376
5760,15735.27,290,644,32,direct,rf2_s16_,1440
5760,9772.07,496,956,32,direct,rf2_s32_,1440
5760,9455.13,434,1510,32,direct,rf2_s4__,1440
5760,15029.33,324,732,32,direct,rf3_s16_,1440
5760,9167.53,526,974,32,direct,rf3_s32_,1440
5760,12539.0,346,1825,32,direct,rf3_s4__,1440
5760,14888.2,317,790,32,direct,rf4_s16_,1440
5760,8364.33,573,933,32,direct,rf4_s32_,1440
5760,19280.53,236,1582,32,direct,rf4_s4__,1440
5760,13162.2,359,970,32,direct,rf6_s16_,1440
5760,7120.8,665,728,32,direct,rf6_s32_,1440
5760,25601.0,178,687,32,direct,rf6_s4__,1440
6016,16308.47,298,660,32,direct,rf2_s16_,1504
6016,9485.67,510,1001,32,direct,rf2_s32_,1504
6016,9581.6,408,1458,32,direct,rf2_s4__,1504
6016,14919.93,335,776,32,direct,rf3_s16_,1504
6016,9294.67,549,979,32,direct,rf3_s32_,1504
6016,13177.47,319,1588,32,direct,rf3_s4__,1504
6016,14938.33,329,813,32,direct,rf4_s16_,1504
6016,8497.53,590,865,32,direct,rf4_s32_,1504
6016,18011.4,336,1655,32,direct,rf4_s4__,1504
6016,12961.47,376,1144,32,direct,rf6_s16_,1504
6016,6890.13,710,636,32,direct,rf6_s32_,1504
6016,27383.6,190,611,32,direct,rf6_s4__,1504
6272,14846.67,310,1059,32,direct,rf2_s16_,1568
6272,9431.8,538,943,32,direct,rf2_s32_,1568
6272,10412.0,459,1306,32,direct,rf2_s4__,1568
6272,15221.27,343,789,32,direct,rf3_s16_,1568
6272,9034.27,570,872,32,direct,rf3_s32_,1568
6272,14219.87,334,1475,32,direct,rf3_s4__,1568
6272,14589.47,340,903,32,direct,rf4_s16_,1568
6272,8727.8,600,791,32,direct,rf4_s32_,1568
6272,18094.33,266,1574,32,direct,rf4_s4__,1568
6272,13292.47,383,1030,32,direct,rf6_s16_,1568
6272,7313.6,718,606,32,direct,rf6_s32_,1568
6272,27291.47,196,644,32,direct,rf6_s4__,1568
6528,16233.73,317,728,32,direct,rf2_s16_,1632
6528,9731.87,558,903,32,direct,rf2_s32_,1632
6528,9217.13,548,1286,32,direct,rf2_s4__,1632
6528,15053.13,358,842,32,direct,rf3_s16_,1632
6528,8803.8,607,861,32,direct,rf3_s32_,1632
6528,14937.53,377,904,32,direct,rf3_s4__,1632
6528,14715.6,354,943,32,direct,rf4_s16_,1632
6528,8771.4,631,743,32,direct,rf4_s32_,1632
6528,16551.4,733,1600,32,direct,rf4_s4__,1632
6528,13206.47,397,1083,32,direct,rf6_s16_,1632
6528,7129.67,744,562,32,direct,rf6_s32_,1632
6528,26942.67,205,654,32,direct,rf6_s4__,1632
6784,16043.53,330,768,32,direct,rf2_s16_,1696
6784,9786.93,576,848,32,direct,rf2_s32_,1696
6784,10311.33,489,1061,32,direct,rf2_s4__,1696
6784,15078.53,364,812,32,direct,rf3_s16_,1696
6784,8765.0,619,746,32,direct,rf3_s32_,1696
6784,14622.4,345,1510,32,direct,rf3_s4__,1696
6784,14776.6,365,926,32,direct,rf4_s16_,1696
6784,8388.53,669,705,32,direct,rf4_s32_,1696
6784,19348.73,296,940,32,direct,rf4_s4__,1696
6784,12697.93,411,1032,32,direct,rf6_s16_,1696
